;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes
0;;;f;1.0;-22.946854109114245;-43.182737237144536;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;"{TV,Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace""}";$133.00;$1,025.00;$102.00;2;$34.00;60;365;38;91.0;9.0;9.0;9.0;9.0;9.0;9.0;f;f;strict_14_with_grace_period;2018;4
1;within an hour;100%;t;2.0;-22.96591903141144;-43.17896230586568;Condominium;Entire home/apt;5;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Hot tub"",""Family/kid friendly"",""Suitable for events"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Hot water"",""Bed linens"",""Luggage dropoff allowed""}";$270.00;$0.00;$273.00;2;$51.00;4;90;205;93.0;10.0;9.0;10.0;10.0;9.0;9.0;t;f;strict;2018;4
2;within an hour;100%;f;1.0;-22.9856978888963;-43.20193477968938;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Beach essentials""}";$222.00;$851.00;$211.00;2;$215.00;3;90;85;95.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
3;within an hour;100%;f;3.0;-22.977116804101872;-43.19045414722083;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$161.00;$1,000.00;$220.00;2;$45.00;4;30;208;94.0;9.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
4;within an hour;100%;t;1.0;-22.98302369705461;-43.21427004586688;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$222.00;;$85.00;2;$68.00;2;1125;200;96.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
5;within an hour;100%;t;1.0;-22.988164695838663;-43.1935877232457;Apartment;Entire home/apt;3;1.5;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Cleaning before checkout""}";$308.00;$856.00;$158.00;2;$86.00;2;89;116;94.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
6;within an hour;100%;t;1.0;-22.981268983403904;-43.19045722266827;Loft;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Room-darkening shades"",""Hot water"",""Luggage dropoff allowed"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Bathtub with bath chair"",""Wide entryway"",Beachfront}";$219.00;$400.00;$140.00;2;$80.00;3;30;255;97.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;2018;4
7;within a day;50%;f;1.0;-22.96680789927568;-43.18657351368087;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{Internet,Wifi,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""24-hour check-in"",Iron}";$150.00;;$150.00;1;$150.00;4;60;1;;;;;;;;f;f;moderate;2018;4
8;within a few hours;100%;f;3.0;-22.921990204401368;-43.18383627708071;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;"{TV,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace""}";$120.00;$2,049.00;$512.00;1;$0.00;3;730;1;80.0;6.0;4.0;8.0;6.0;6.0;4.0;f;f;strict;2018;4
9;within an hour;94%;f;6.0;-22.9863327988552;-43.20256262652219;Apartment;Entire home/apt;14;7.0;6.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$3,241.00;$2,947.00;$421.00;7;$126.00;2;89;33;87.0;9.0;9.0;9.0;8.0;10.0;8.0;t;f;strict;2018;4
